Problem #,Problem,Difficulty,Acceptance,LeetCode URL
1339,Maximum Product of Splitted Binary Tree,Medium,55.80%,https://leetcode.com/problems/maximum-product-of-splitted-binary-tree
1340,Jump Game V,Hard,75.80%,https://leetcode.com/problems/jump-game-v
1341,Movie Rating,Medium,44.30%,https://leetcode.com/problems/movie-rating
1342,Number of Steps to Reduce a Number to Zero,Easy,85.90%,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-to-zero
1343,Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold,Medium,74.10%,https://leetcode.com/problems/number-of-sub-arrays-of-size-k-and-average-greater-than-or-equal-to-threshold
1344,Angle Between Hands of a Clock,Medium,69.90%,https://leetcode.com/problems/angle-between-hands-of-a-clock
1345,Jump Game IV,Hard,51.10%,https://leetcode.com/problems/jump-game-iv
1346,Check If N and Its Double Exist,Easy,42.00%,https://leetcode.com/problems/check-if-n-and-its-double-exist
1347,Minimum Number of Steps to Make Two Strings Anagram,Medium,82.60%,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram
1348,Tweet Counts Per Frequency,Medium,46.60%,https://leetcode.com/problems/tweet-counts-per-frequency
1349,Maximum Students Taking Exam,Hard,54.50%,https://leetcode.com/problems/maximum-students-taking-exam
1350,Students With Invalid Departments,Easy,89.70%,https://leetcode.com/problems/students-with-invalid-departments
1351,Count Negative Numbers in a Sorted Matrix,Easy,79.70%,https://leetcode.com/problems/count-negative-numbers-in-a-sorted-matrix
1352,Product of the Last K Numbers,Medium,63.00%,https://leetcode.com/problems/product-of-the-last-k-numbers
1353,Maximum Number of Events That Can Be Attended,Medium,39.10%,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended
1354,Construct Target Array With Multiple Sums,Hard,37.20%,https://leetcode.com/problems/construct-target-array-with-multiple-sums
1355,Activity Participants,Medium,72.00%,https://leetcode.com/problems/activity-participants
1356,Sort Integers by The Number of 1 Bits,Easy,82.40%,https://leetcode.com/problems/sort-integers-by-the-number-of-1-bits
1357,Apply Discount Every n Orders,Medium,66.00%,https://leetcode.com/problems/apply-discount-every-n-orders
1358,Number of Substrings Containing All Three Characters,Medium,74.40%,https://leetcode.com/problems/number-of-substrings-containing-all-three-characters
1359,Count All Valid Pickup and Delivery Options,Hard,64.90%,https://leetcode.com/problems/count-all-valid-pickup-and-delivery-options
1360,Number of Days Between Two Dates,Easy,53.50%,https://leetcode.com/problems/number-of-days-between-two-dates
1361,Validate Binary Tree Nodes,Medium,44.20%,https://leetcode.com/problems/validate-binary-tree-nodes
1362,Closest Divisors,Medium,63.80%,https://leetcode.com/problems/closest-divisors
1363,Largest Multiple of Three,Hard,33.50%,https://leetcode.com/problems/largest-multiple-of-three
1364,Number of Trusted Contacts of a Customer,Medium,74.60%,https://leetcode.com/problems/number-of-trusted-contacts-of-a-customer
1365,How Many Numbers Are Smaller Than the Current Number,Easy,87.50%,https://leetcode.com/problems/how-many-numbers-are-smaller-than-the-current-number
1366,Rank Teams by Votes,Medium,60.00%,https://leetcode.com/problems/rank-teams-by-votes
1367,Linked List in Binary Tree,Medium,52.00%,https://leetcode.com/problems/linked-list-in-binary-tree
1368,Minimum Cost to Make at Least One Valid Path in a Grid,Hard,71.20%,https://leetcode.com/problems/minimum-cost-to-make-at-least-one-valid-path-in-a-grid
1369,Get the Second Most Recent Activity,Hard,67.30%,https://leetcode.com/problems/get-the-second-most-recent-activity
1370,Increasing Decreasing String,Easy,77.40%,https://leetcode.com/problems/increasing-decreasing-string
1371,Find the Longest Substring Containing Vowels in Even Counts,Medium,75.60%,https://leetcode.com/problems/find-the-longest-substring-containing-vowels-in-even-counts
1372,Longest ZigZag Path in a Binary Tree,Medium,67.40%,https://leetcode.com/problems/longest-zigzag-path-in-a-binary-tree
1373,Maximum Sum BST in Binary Tree,Hard,48.80%,https://leetcode.com/problems/maximum-sum-bst-in-binary-tree
1374,Generate a String With Characters That Have Odd Counts,Easy,78.60%,https://leetcode.com/problems/generate-a-string-with-characters-that-have-odd-counts
1375,Number of Times Binary String Is Prefix-Aligned,Medium,66.20%,https://leetcode.com/problems/number-of-times-binary-string-is-prefix-aligned
1376,Time Needed to Inform All Employees,Medium,60.60%,https://leetcode.com/problems/time-needed-to-inform-all-employees
1377,Frog Position After T Seconds,Hard,38.80%,https://leetcode.com/problems/frog-position-after-t-seconds
1378,Replace Employee ID With The Unique Identifier,Easy,83.80%,https://leetcode.com/problems/replace-employee-id-with-the-unique-identifier
1379,Find a Corresponding Node of a Binary Tree in a Clone of That Tree,Easy,85.90%,https://leetcode.com/problems/find-a-corresponding-node-of-a-binary-tree-in-a-clone-of-that-tree
1380,Lucky Numbers in a Matrix,Easy,80.20%,https://leetcode.com/problems/lucky-numbers-in-a-matrix
1381,Design a Stack With Increment Operation,Medium,79.90%,https://leetcode.com/problems/design-a-stack-with-increment-operation
1382,Balance a Binary Search Tree,Medium,86.30%,https://leetcode.com/problems/balance-a-binary-search-tree
1383,Maximum Performance of a Team,Hard,48.10%,https://leetcode.com/problems/maximum-performance-of-a-team
1384,Total Sales Amount by Year,Hard,61.20%,https://leetcode.com/problems/total-sales-amount-by-year
1385,Find the Distance Value Between Two Arrays,Easy,72.30%,https://leetcode.com/problems/find-the-distance-value-between-two-arrays
1386,Cinema Seat Allocation,Medium,56.90%,https://leetcode.com/problems/cinema-seat-allocation
1387,Sort Integers by The Power Value,Medium,71.80%,https://leetcode.com/problems/sort-integers-by-the-power-value
1388,Pizza With 3n Slices,Hard,54.30%,https://leetcode.com/problems/pizza-with-3n-slices
1389,Create Target Array in the Given Order,Easy,86.60%,https://leetcode.com/problems/create-target-array-in-the-given-order
1390,Four Divisors,Medium,56.50%,https://leetcode.com/problems/four-divisors
1391,Check if There is a Valid Path in a Grid,Medium,64.50%,https://leetcode.com/problems/check-if-there-is-a-valid-path-in-a-grid
1392,Longest Happy Prefix,Hard,53.80%,https://leetcode.com/problems/longest-happy-prefix
1393,Capital Gain/Loss,Medium,84.50%,https://leetcode.com/problems/capital-gainloss
1394,Find Lucky Integer in an Array,Easy,75.60%,https://leetcode.com/problems/find-lucky-integer-in-an-array
1395,Count Number of Teams,Medium,70.20%,https://leetcode.com/problems/count-number-of-teams
1396,Design Underground System,Medium,74.60%,https://leetcode.com/problems/design-underground-system
1397,Find All Good Strings,Hard,46.20%,https://leetcode.com/problems/find-all-good-strings
1398,Customers Who Bought Products A and B but Not C,Medium,71.40%,https://leetcode.com/problems/customers-who-bought-products-a-and-b-but-not-c
1399,Count Largest Group,Easy,74.70%,https://leetcode.com/problems/count-largest-group
1400,Construct K Palindrome Strings,Medium,68.50%,https://leetcode.com/problems/construct-k-palindrome-strings
1401,Circle and Rectangle Overlapping,Medium,50.50%,https://leetcode.com/problems/circle-and-rectangle-overlapping
1402,Reducing Dishes,Hard,76.80%,https://leetcode.com/problems/reducing-dishes
1403,Minimum Subsequence in Non-Increasing Order,Easy,74.10%,https://leetcode.com/problems/minimum-subsequence-in-non-increasing-order
1404,Number of Steps to Reduce a Number in Binary Representation to One,Medium,63.70%,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-in-binary-representation-to-one
1405,Longest Happy String,Medium,65.60%,https://leetcode.com/problems/longest-happy-string
1406,Stone Game III,Hard,67.90%,https://leetcode.com/problems/stone-game-iii
1407,Top Travellers,Easy,57.70%,https://leetcode.com/problems/top-travellers
1408,String Matching in an Array,Easy,69.80%,https://leetcode.com/problems/string-matching-in-an-array
1409,Queries on a Permutation With Key,Medium,85.00%,https://leetcode.com/problems/queries-on-a-permutation-with-key
1410,HTML Entity Parser,Medium,50.00%,https://leetcode.com/problems/html-entity-parser
1411,Number of Ways to Paint N ? 3 Grid,Hard,80.60%,https://leetcode.com/problems/number-of-ways-to-paint-n-3-grid
1412,Find the Quiet Students in All Exams,Hard,58.00%,https://leetcode.com/problems/find-the-quiet-students-in-all-exams
1413,Minimum Value to Get Positive Step by Step Sum,Easy,64.90%,https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum
1414,Find the Minimum Number of Fibonacci Numbers Whose Sum Is K,Medium,64.80%,https://leetcode.com/problems/find-the-minimum-number-of-fibonacci-numbers-whose-sum-is-k
1415,The k-th Lexicographical String of All Happy Strings of Length n,Medium,87.10%,https://leetcode.com/problems/the-k-th-lexicographical-string-of-all-happy-strings-of-length-n
1416,Restore The Array,Hard,46.70%,https://leetcode.com/problems/restore-the-array
1417,Reformat The String,Easy,52.20%,https://leetcode.com/problems/reformat-the-string
1418,Display Table of Food Orders in a Restaurant,Medium,76.50%,https://leetcode.com/problems/display-table-of-food-orders-in-a-restaurant
1419,Minimum Number of Frogs Croaking,Medium,51.30%,https://leetcode.com/problems/minimum-number-of-frogs-croaking
1420,Build Array Where You Can Find The Maximum Exactly K Comparisons,Hard,65.30%,https://leetcode.com/problems/build-array-where-you-can-find-the-maximum-exactly-k-comparisons
1421,NPV Queries,Easy,82.80%,https://leetcode.com/problems/npv-queries
1422,Maximum Score After Splitting a String,Easy,65.10%,https://leetcode.com/problems/maximum-score-after-splitting-a-string
1423,Maximum Points You Can Obtain from Cards,Medium,58.30%,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards
1424,Diagonal Traverse II,Medium,58.30%,https://leetcode.com/problems/diagonal-traverse-ii
1425,Constrained Subsequence Sum,Hard,56.40%,https://leetcode.com/problems/constrained-subsequence-sum
1426,Counting Elements,Easy,60.80%,https://leetcode.com/problems/counting-elements
1427,Perform String Shifts,Easy,56.00%,https://leetcode.com/problems/perform-string-shifts
1428,Leftmost Column with at Least a One,Medium,55.30%,https://leetcode.com/problems/leftmost-column-with-at-least-a-one
1429,First Unique Number,Medium,57.90%,https://leetcode.com/problems/first-unique-number
1430,Check If a String Is a Valid Sequence from Root to Leaves Path in a Binary Tree,Medium,47.50%,https://leetcode.com/problems/check-if-a-string-is-a-valid-sequence-from-root-to-leaves-path-in-a-binary-tree
1431,Kids With the Greatest Number of Candies,Easy,88.00%,https://leetcode.com/problems/kids-with-the-greatest-number-of-candies
1432,Max Difference You Can Get From Changing an Integer,Medium,48.60%,https://leetcode.com/problems/max-difference-you-can-get-from-changing-an-integer
1433,Check If a String Can Break Another String,Medium,71.20%,https://leetcode.com/problems/check-if-a-string-can-break-another-string
1434,Number of Ways to Wear Different Hats to Each Other,Hard,46.80%,https://leetcode.com/problems/number-of-ways-to-wear-different-hats-to-each-other
1435,Create a Session Bar Chart,Easy,74.20%,https://leetcode.com/problems/create-a-session-bar-chart
1436,Destination City,Easy,79.60%,https://leetcode.com/problems/destination-city
1437,Check If All 1's Are at Least Length K Places Away,Easy,64.30%,https://leetcode.com/problems/check-if-all-1s-are-at-least-length-k-places-away
1438,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,Medium,58.00%,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit
1439,Find the Kth Smallest Sum of a Matrix With Sorted Rows,Hard,62.50%,https://leetcode.com/problems/find-the-kth-smallest-sum-of-a-matrix-with-sorted-rows
1440,Evaluate Boolean Expression,Medium,71.60%,https://leetcode.com/problems/evaluate-boolean-expression
1441,Build an Array With Stack Operations,Medium,80.80%,https://leetcode.com/problems/build-an-array-with-stack-operations
1442,Count Triplets That Can Form Two Arrays of Equal XOR,Medium,84.80%,https://leetcode.com/problems/count-triplets-that-can-form-two-arrays-of-equal-xor
1443,Minimum Time to Collect All Apples in a Tree,Medium,63.90%,https://leetcode.com/problems/minimum-time-to-collect-all-apples-in-a-tree
1444,Number of Ways of Cutting a Pizza,Hard,61.60%,https://leetcode.com/problems/number-of-ways-of-cutting-a-pizza
1445,Apples & Oranges,Medium,86.00%,https://leetcode.com/problems/apples-oranges
1446,Consecutive Characters,Easy,60.40%,https://leetcode.com/problems/consecutive-characters
1447,Simplified Fractions,Medium,70.20%,https://leetcode.com/problems/simplified-fractions
1448,Count Good Nodes in Binary Tree,Medium,74.00%,https://leetcode.com/problems/count-good-nodes-in-binary-tree
1449,Form Largest Integer With Digits That Add up to Target,Hard,50.10%,https://leetcode.com/problems/form-largest-integer-with-digits-that-add-up-to-target
1450,Number of Students Doing Homework at a Given Time,Easy,76.20%,https://leetcode.com/problems/number-of-students-doing-homework-at-a-given-time
1451,Rearrange Words in a Sentence,Medium,67.40%,https://leetcode.com/problems/rearrange-words-in-a-sentence
1452,People Whose List of Favorite Companies Is Not a Subset of Another List,Medium,60.90%,https://leetcode.com/problems/people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list
1453,Maximum Number of Darts Inside of a Circular Dartboard,Hard,41.60%,https://leetcode.com/problems/maximum-number-of-darts-inside-of-a-circular-dartboard
1454,Active Users,Medium,36.60%,https://leetcode.com/problems/active-users
1455,Check If a Word Occurs As a Prefix of Any Word in a Sentence,Easy,68.80%,https://leetcode.com/problems/check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence
1456,Maximum Number of Vowels in a Substring of Given Length,Medium,62.80%,https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length
1457,Pseudo-Palindromic Paths in a Binary Tree,Medium,68.40%,https://leetcode.com/problems/pseudo-palindromic-paths-in-a-binary-tree
1458,Max Dot Product of Two Subsequences,Hard,69.40%,https://leetcode.com/problems/max-dot-product-of-two-subsequences
1459,Rectangles Area,Medium,68.80%,https://leetcode.com/problems/rectangles-area
1460,Make Two Arrays Equal by Reversing Subarrays,Easy,75.80%,https://leetcode.com/problems/make-two-arrays-equal-by-reversing-subarrays
1461,Check If a String Contains All Binary Codes of Size K,Medium,61.60%,https://leetcode.com/problems/check-if-a-string-contains-all-binary-codes-of-size-k
1462,Course Schedule IV,Medium,60.30%,https://leetcode.com/problems/course-schedule-iv
1463,Cherry Pickup II,Hard,72.60%,https://leetcode.com/problems/cherry-pickup-ii
1464,Maximum Product of Two Elements in an Array,Easy,85.00%,https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array
1465,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,Medium,41.50%,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts
1466,Reorder Routes to Make All Paths Lead to the City Zero,Medium,66.10%,https://leetcode.com/problems/reorder-routes-to-make-all-paths-lead-to-the-city-zero
1467,Probability of a Two Boxes Having The Same Number of Distinct Balls,Hard,61.70%,https://leetcode.com/problems/probability-of-a-two-boxes-having-the-same-number-of-distinct-balls
1468,Calculate Salaries,Medium,77.20%,https://leetcode.com/problems/calculate-salaries
1469,Find All The Lonely Nodes,Easy,84.10%,https://leetcode.com/problems/find-all-the-lonely-nodes
1470,Shuffle the Array,Easy,88.70%,https://leetcode.com/problems/shuffle-the-array
1471,The k Strongest Values in an Array,Medium,62.90%,https://leetcode.com/problems/the-k-strongest-values-in-an-array
1472,Design Browser History,Medium,78.50%,https://leetcode.com/problems/design-browser-history
1473,Paint House III,Hard,61.30%,https://leetcode.com/problems/paint-house-iii
1474,Delete N Nodes After M Nodes of a Linked List,Easy,74.40%,https://leetcode.com/problems/delete-n-nodes-after-m-nodes-of-a-linked-list
1475,Final Prices With a Special Discount in a Shop,Easy,84.30%,https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop
1476,Subrectangle Queries,Medium,86.50%,https://leetcode.com/problems/subrectangle-queries
1477,Find Two Non-overlapping Sub-arrays Each With Target Sum,Medium,37.00%,https://leetcode.com/problems/find-two-non-overlapping-sub-arrays-each-with-target-sum
1478,Allocate Mailboxes,Hard,57.00%,https://leetcode.com/problems/allocate-mailboxes
1479,Sales by Day of the Week,Hard,76.10%,https://leetcode.com/problems/sales-by-day-of-the-week
1480,Running Sum of 1d Array,Easy,87.10%,https://leetcode.com/problems/running-sum-of-1d-array
1481,Least Number of Unique Integers after K Removals,Medium,64.00%,https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals
1482,Minimum Number of Days to Make m Bouquets,Medium,57.10%,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets
1483,Kth Ancestor of a Tree Node,Hard,39.60%,https://leetcode.com/problems/kth-ancestor-of-a-tree-node
1484,Group Sold Products By The Date,Easy,78.30%,https://leetcode.com/problems/group-sold-products-by-the-date
1485,Clone Binary Tree With Random Pointer,Medium,81.10%,https://leetcode.com/problems/clone-binary-tree-with-random-pointer
1486,XOR Operation in an Array,Easy,87.90%,https://leetcode.com/problems/xor-operation-in-an-array
1487,Making File Names Unique,Medium,38.90%,https://leetcode.com/problems/making-file-names-unique
1488,Avoid Flood in The City,Medium,38.90%,https://leetcode.com/problems/avoid-flood-in-the-city
1489,Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree,Hard,66.70%,https://leetcode.com/problems/find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree
1490,Clone N-ary Tree,Medium,83.10%,https://leetcode.com/problems/clone-n-ary-tree
1491,Average Salary Excluding the Minimum and Maximum Salary,Easy,63.60%,https://leetcode.com/problems/average-salary-excluding-the-minimum-and-maximum-salary
1492,The kth Factor of n,Medium,70.80%,https://leetcode.com/problems/the-kth-factor-of-n
1493,Longest Subarray of 1's After Deleting One Element,Medium,71.50%,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element
1494,Parallel Courses II,Hard,31.40%,https://leetcode.com/problems/parallel-courses-ii
1495,Friendly Movies Streamed Last Month,Easy,48.90%,https://leetcode.com/problems/friendly-movies-streamed-last-month
1496,Path Crossing,Easy,62.70%,https://leetcode.com/problems/path-crossing
1497,Check If Array Pairs Are Divisible by k,Medium,46.20%,https://leetcode.com/problems/check-if-array-pairs-are-divisible-by-k
1498,Number of Subsequences That Satisfy the Given Sum Condition,Medium,49.00%,https://leetcode.com/problems/number-of-subsequences-that-satisfy-the-given-sum-condition
1499,Max Value of Equation,Hard,45.20%,https://leetcode.com/problems/max-value-of-equation
1500,Design a File Sharing System,Medium,41.80%,https://leetcode.com/problems/design-a-file-sharing-system
1501,Countries You Can Safely Invest In,Medium,50.80%,https://leetcode.com/problems/countries-you-can-safely-invest-in
1502,Can Make Arithmetic Progression From Sequence,Easy,68.70%,https://leetcode.com/problems/can-make-arithmetic-progression-from-sequence
1503,Last Moment Before All Ants Fall Out of a Plank,Medium,68.10%,https://leetcode.com/problems/last-moment-before-all-ants-fall-out-of-a-plank
1504,Count Submatrices With All Ones,Medium,71.00%,https://leetcode.com/problems/count-submatrices-with-all-ones
1505,Minimum Possible Integer After at Most K Adjacent Swaps On Digits,Hard,41.90%,https://leetcode.com/problems/minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits
1506,Find Root of N-Ary Tree,Medium,78.60%,https://leetcode.com/problems/find-root-of-n-ary-tree
1507,Reformat Date,Easy,68.90%,https://leetcode.com/problems/reformat-date
1508,Range Sum of Sorted Subarray Sums,Medium,63.00%,https://leetcode.com/problems/range-sum-of-sorted-subarray-sums
1509,Minimum Difference Between Largest and Smallest Value in Three Moves,Medium,59.20%,https://leetcode.com/problems/minimum-difference-between-largest-and-smallest-value-in-three-moves
1510,Stone Game IV,Hard,65.20%,https://leetcode.com/problems/stone-game-iv
1511,Customer Order Frequency,Easy,66.30%,https://leetcode.com/problems/customer-order-frequency
1512,Number of Good Pairs,Easy,89.90%,https://leetcode.com/problems/number-of-good-pairs
1513,Number of Substrings With Only 1s,Medium,57.30%,https://leetcode.com/problems/number-of-substrings-with-only-1s
1514,Path with Maximum Probability,Medium,65.80%,https://leetcode.com/problems/path-with-maximum-probability
1515,Best Position for a Service Centre,Hard,35.70%,https://leetcode.com/problems/best-position-for-a-service-centre
1516,Move Sub-Tree of N-Ary Tree,Hard,59.90%,https://leetcode.com/problems/move-sub-tree-of-n-ary-tree
1517,Find Users With Valid E-Mails,Easy,35.30%,https://leetcode.com/problems/find-users-with-valid-e-mails
1518,Water Bottles,Easy,72.60%,https://leetcode.com/problems/water-bottles
1519,Number of Nodes in the Sub-Tree With the Same Label,Medium,55.60%,https://leetcode.com/problems/number-of-nodes-in-the-sub-tree-with-the-same-label
1520,Maximum Number of Non-Overlapping Substrings,Hard,44.00%,https://leetcode.com/problems/maximum-number-of-non-overlapping-substrings
1521,Find a Value of a Mysterious Function Closest to Target,Hard,48.00%,https://leetcode.com/problems/find-a-value-of-a-mysterious-function-closest-to-target
1522,Diameter of N-Ary Tree,Medium,75.50%,https://leetcode.com/problems/diameter-of-n-ary-tree
1523,Count Odd Numbers in an Interval Range,Easy,54.80%,https://leetcode.com/problems/count-odd-numbers-in-an-interval-range
1524,Number of Sub-arrays With Odd Sum,Medium,55.60%,https://leetcode.com/problems/number-of-sub-arrays-with-odd-sum
1525,Number of Good Ways to Split a String,Medium,68.60%,https://leetcode.com/problems/number-of-good-ways-to-split-a-string
1526,Minimum Number of Increments on Subarrays to Form a Target Array,Hard,78.30%,https://leetcode.com/problems/minimum-number-of-increments-on-subarrays-to-form-a-target-array
1527,Patients With a Condition,Easy,39.20%,https://leetcode.com/problems/patients-with-a-condition
1528,Shuffle String,Easy,85.50%,https://leetcode.com/problems/shuffle-string
1529,Minimum Suffix Flips,Medium,74.00%,https://leetcode.com/problems/minimum-suffix-flips
1530,Number of Good Leaf Nodes Pairs,Medium,71.80%,https://leetcode.com/problems/number-of-good-leaf-nodes-pairs
1531,String Compression II,Hard,52.20%,https://leetcode.com/problems/string-compression-ii
1532,The Most Recent Three Orders,Medium,69.20%,https://leetcode.com/problems/the-most-recent-three-orders
1533,Find the Index of the Large Integer,Medium,56.60%,https://leetcode.com/problems/find-the-index-of-the-large-integer
1534,Count Good Triplets,Easy,85.60%,https://leetcode.com/problems/count-good-triplets
1535,Find the Winner of an Array Game,Medium,56.90%,https://leetcode.com/problems/find-the-winner-of-an-array-game
1536,Minimum Swaps to Arrange a Binary Grid,Medium,70.20%,https://leetcode.com/problems/minimum-swaps-to-arrange-a-binary-grid
1537,Get the Maximum Score,Hard,41.50%,https://leetcode.com/problems/get-the-maximum-score
1538,Guess the Majority in a Hidden Array,Medium,69.10%,https://leetcode.com/problems/guess-the-majority-in-a-hidden-array
1539,Kth Missing Positive Number,Easy,63.90%,https://leetcode.com/problems/kth-missing-positive-number
1540,Can Convert String in K Moves,Medium,38.00%,https://leetcode.com/problems/can-convert-string-in-k-moves
1541,Minimum Insertions to Balance a Parentheses String,Medium,53.70%,https://leetcode.com/problems/minimum-insertions-to-balance-a-parentheses-string
1542,Find Longest Awesome Substring,Hard,47.50%,https://leetcode.com/problems/find-longest-awesome-substring
1543,Fix Product Name Format,Easy,58.80%,https://leetcode.com/problems/fix-product-name-format
1544,Make The String Great,Easy,68.70%,https://leetcode.com/problems/make-the-string-great
1545,Find Kth Bit in Nth Binary String,Medium,73.70%,https://leetcode.com/problems/find-kth-bit-in-nth-binary-string
1546,Maximum Number of Non-Overlapping Subarrays With Sum Equals Target,Medium,49.30%,https://leetcode.com/problems/maximum-number-of-non-overlapping-subarrays-with-sum-equals-target
1547,Minimum Cost to Cut a Stick,Hard,63.40%,https://leetcode.com/problems/minimum-cost-to-cut-a-stick
1548,The Most Similar Path in a Graph,Hard,59.50%,https://leetcode.com/problems/the-most-similar-path-in-a-graph
1549,The Most Recent Orders for Each Product,Medium,65.00%,https://leetcode.com/problems/the-most-recent-orders-for-each-product
1550,Three Consecutive Odds,Easy,69.30%,https://leetcode.com/problems/three-consecutive-odds
1551,Minimum Operations to Make Array Equal,Medium,82.80%,https://leetcode.com/problems/minimum-operations-to-make-array-equal
1552,Magnetic Force Between Two Balls,Medium,72.60%,https://leetcode.com/problems/magnetic-force-between-two-balls
1553,Minimum Number of Days to Eat N Oranges,Hard,36.50%,https://leetcode.com/problems/minimum-number-of-days-to-eat-n-oranges
1554,Strings Differ by One Character,Medium,39.60%,https://leetcode.com/problems/strings-differ-by-one-character
1555,Bank Account Summary,Medium,52.30%,https://leetcode.com/problems/bank-account-summary
1556,Thousand Separator,Easy,53.90%,https://leetcode.com/problems/thousand-separator
1557,Minimum Number of Vertices to Reach All Nodes,Medium,81.80%,https://leetcode.com/problems/minimum-number-of-vertices-to-reach-all-nodes
1558,Minimum Numbers of Function Calls to Make Target Array,Medium,62.80%,https://leetcode.com/problems/minimum-numbers-of-function-calls-to-make-target-array
1559,Detect Cycles in 2D Grid,Medium,63.50%,https://leetcode.com/problems/detect-cycles-in-2d-grid
1560,Most Visited Sector in a Circular Track,Easy,60.10%,https://leetcode.com/problems/most-visited-sector-in-a-circular-track
1561,Maximum Number of Coins You Can Get,Medium,84.90%,https://leetcode.com/problems/maximum-number-of-coins-you-can-get
1562,Find Latest Group of Size M,Medium,44.20%,https://leetcode.com/problems/find-latest-group-of-size-m
1563,Stone Game V,Hard,59.00%,https://leetcode.com/problems/stone-game-v
1564,Put Boxes Into the Warehouse I,Medium,67.80%,https://leetcode.com/problems/put-boxes-into-the-warehouse-i
1565,Unique Orders and Customers Per Month,Easy,81.90%,https://leetcode.com/problems/unique-orders-and-customers-per-month
1566,Detect Pattern of Length M Repeated K or More Times,Easy,44.20%,https://leetcode.com/problems/detect-pattern-of-length-m-repeated-k-or-more-times
1567,Maximum Length of Subarray With Positive Product,Medium,44.80%,https://leetcode.com/problems/maximum-length-of-subarray-with-positive-product
1568,Minimum Number of Days to Disconnect Island,Hard,58.70%,https://leetcode.com/problems/minimum-number-of-days-to-disconnect-island
1569,Number of Ways to Reorder Array to Get Same BST,Hard,54.20%,https://leetcode.com/problems/number-of-ways-to-reorder-array-to-get-same-bst
1570,Dot Product of Two Sparse Vectors,Medium,89.90%,https://leetcode.com/problems/dot-product-of-two-sparse-vectors
1571,Warehouse Manager,Easy,87.10%,https://leetcode.com/problems/warehouse-manager
1572,Matrix Diagonal Sum,Easy,84.60%,https://leetcode.com/problems/matrix-diagonal-sum
1573,Number of Ways to Split a String,Medium,34.80%,https://leetcode.com/problems/number-of-ways-to-split-a-string
1574,Shortest Subarray to be Removed to Make Array Sorted,Medium,51.30%,https://leetcode.com/problems/shortest-subarray-to-be-removed-to-make-array-sorted
1575,Count All Possible Routes,Hard,64.80%,https://leetcode.com/problems/count-all-possible-routes
1576,Replace All ?'s to Avoid Consecutive Repeating Characters,Easy,45.30%,https://leetcode.com/problems/replace-all-s-to-avoid-consecutive-repeating-characters
1577,Number of Ways Where Square of Number Is Equal to Product of Two Numbers,Medium,43.90%,https://leetcode.com/problems/number-of-ways-where-square-of-number-is-equal-to-product-of-two-numbers
1578,Minimum Time to Make Rope Colorful,Medium,65.20%,https://leetcode.com/problems/minimum-time-to-make-rope-colorful
1579,Remove Max Number of Edges to Keep Graph Fully Traversable,Hard,70.10%,https://leetcode.com/problems/remove-max-number-of-edges-to-keep-graph-fully-traversable
1580,Put Boxes Into the Warehouse II,Medium,66.30%,https://leetcode.com/problems/put-boxes-into-the-warehouse-ii
1581,Customer Who Visited but Did Not Make Any Transactions,Easy,68.50%,https://leetcode.com/problems/customer-who-visited-but-did-not-make-any-transactions
1582,Special Positions in a Binary Matrix,Easy,72.70%,https://leetcode.com/problems/special-positions-in-a-binary-matrix
1583,Count Unhappy Friends,Medium,62.70%,https://leetcode.com/problems/count-unhappy-friends
1584,Min Cost to Connect All Points,Medium,71.70%,https://leetcode.com/problems/min-cost-to-connect-all-points
1585,Check If String Is Transformable With Substring Sort Operations,Hard,51.80%,https://leetcode.com/problems/check-if-string-is-transformable-with-substring-sort-operations
1586,Binary Search Tree Iterator II,Medium,63.30%,https://leetcode.com/problems/binary-search-tree-iterator-ii
1587,Bank Account Summary II,Easy,83.00%,https://leetcode.com/problems/bank-account-summary-ii
1588,Sum of All Odd Length Subarrays,Easy,84.10%,https://leetcode.com/problems/sum-of-all-odd-length-subarrays
1589,Maximum Sum Obtained of Any Permutation,Medium,41.50%,https://leetcode.com/problems/maximum-sum-obtained-of-any-permutation
